v,T
4.00001e+03,1.00000e+00
4.00002e+03,1.00000e+00
4.00003e+03,1.00000e+00
4.00004e+03,1.00000e+00
4.00005e+03,1.00000e+00
4.00006e+03,1.00000e+00
4.00007e+03,1.00000e+00
4.00008e+03,1.00000e+00
4.00009e+03,1.00000e+00
4.00010e+03,1.00000e+00
4.00011e+03,1.00000e+00
4.00012e+03,1.00000e+00
4.00013e+03,1.00000e+00
4.00014e+03,1.00000e+00
4.00015e+03,1.00000e+00
4.00016e+03,1.00000e+00
4.00017e+03,1.00000e+00
4.00018e+03,1.00000e+00
4.00019e+03,1.00000e+00
4.00020e+03,1.00000e+00
4.00021e+03,1.00000e+00
4.00022e+03,9.99999e-01
4.00023e+03,9.99999e-01
4.00024e+03,9.99998e-01
4.00025e+03,9.99998e-01
4.00026e+03,9.99997e-01
4.00027e+03,9.99998e-01
4.00028e+03,9.99999e-01
4.00029e+03,9.99999e-01
4.00030e+03,9.99999e-01
4.00031e+03,1.00000e+00
4.00032e+03,1.00000e+00
4.00033e+03,1.00000e+00
4.00034e+03,1.00000e+00
4.00035e+03,1.00000e+00
4.00036e+03,1.00000e+00
4.00037e+03,1.00000e+00
4.00038e+03,1.00000e+00
4.00039e+03,1.00000e+00
4.00040e+03,1.00000e+00
4.00041e+03,1.00000e+00
4.00042e+03,1.00000e+00
4.00043e+03,1.00000e+00
4.00044e+03,1.00000e+00
4.00045e+03,1.00000e+00
4.00046e+03,1.00000e+00
4.00047e+03,1.00000e+00
4.00048e+03,1.00000e+00
4.00049e+03,1.00000e+00
4.00050e+03,1.00000e+00
4.00051e+03,1.00000e+00
4.00052e+03,1.00000e+00
4.00053e+03,1.00000e+00
4.00054e+03,1.00000e+00
4.00055e+03,1.00000e+00
4.00056e+03,1.00000e+00
4.00057e+03,1.00000e+00
4.00058e+03,1.00000e+00
4.00059e+03,1.00000e+00
4.00060e+03,1.00000e+00
4.00061e+03,1.00000e+00
4.00062e+03,1.00000e+00
4.00063e+03,1.00000e+00
4.00064e+03,1.00000e+00
4.00065e+03,1.00000e+00
4.00066e+03,1.00000e+00
4.00067e+03,1.00000e+00
4.00068e+03,1.00000e+00
4.00069e+03,1.00000e+00
4.00070e+03,1.00000e+00
4.00071e+03,1.00000e+00
4.00072e+03,1.00000e+00
4.00073e+03,1.00000e+00
4.00074e+03,1.00000e+00
4.00075e+03,1.00000e+00
4.00076e+03,1.00000e+00
4.00077e+03,1.00000e+00
4.00078e+03,1.00000e+00
4.00079e+03,1.00000e+00
4.00080e+03,1.00000e+00
4.00081e+03,1.00000e+00
4.00082e+03,1.00000e+00
4.00083e+03,1.00000e+00
4.00084e+03,1.00000e+00
4.00085e+03,1.00000e+00
4.00086e+03,1.00000e+00
4.00087e+03,1.00000e+00
4.00088e+03,1.00000e+00
4.00089e+03,1.00000e+00
4.00090e+03,1.00000e+00
4.00091e+03,1.00000e+00
4.00092e+03,1.00000e+00
4.00093e+03,1.00000e+00
4.00094e+03,1.00000e+00
4.00095e+03,1.00000e+00
4.00096e+03,1.00000e+00
4.00097e+03,1.00000e+00
4.00098e+03,1.00000e+00
4.00099e+03,1.00000e+00
4.00100e+03,1.00000e+00
4.00101e+03,1.00000e+00
4.00102e+03,1.00000e+00
4.00103e+03,1.00000e+00
4.00104e+03,1.00000e+00
4.00105e+03,1.00000e+00
4.00106e+03,1.00000e+00
4.00107e+03,1.00000e+00
4.00108e+03,1.00000e+00
4.00109e+03,1.00000e+00
4.00110e+03,1.00000e+00
4.00111e+03,1.00000e+00
4.00112e+03,1.00000e+00
4.00113e+03,1.00000e+00
4.00114e+03,1.00000e+00
4.00115e+03,1.00000e+00
4.00116e+03,1.00000e+00
4.00117e+03,1.00000e+00
4.00118e+03,1.00000e+00
4.00119e+03,1.00000e+00
4.00120e+03,1.00000e+00
4.00121e+03,1.00000e+00
4.00122e+03,1.00000e+00
4.00123e+03,1.00000e+00
4.00124e+03,1.00000e+00
4.00125e+03,1.00000e+00
4.00126e+03,1.00000e+00
4.00127e+03,1.00000e+00
4.00128e+03,1.00000e+00
4.00129e+03,1.00000e+00
4.00130e+03,1.00000e+00
4.00131e+03,1.00000e+00
4.00132e+03,1.00000e+00
4.00133e+03,1.00000e+00
4.00134e+03,1.00000e+00
4.00135e+03,1.00000e+00
4.00136e+03,1.00000e+00
4.00137e+03,1.00000e+00
4.00138e+03,1.00000e+00
4.00139e+03,1.00000e+00
4.00140e+03,1.00000e+00
4.00141e+03,1.00000e+00
4.00142e+03,1.00000e+00
4.00143e+03,1.00000e+00
4.00144e+03,1.00000e+00
4.00145e+03,1.00000e+00
4.00146e+03,1.00000e+00
4.00147e+03,1.00000e+00
4.00148e+03,1.00000e+00
4.00149e+03,1.00000e+00
4.00150e+03,1.00000e+00
4.00151e+03,1.00000e+00
4.00152e+03,1.00000e+00
4.00153e+03,1.00000e+00
4.00154e+03,1.00000e+00
4.00155e+03,1.00000e+00
4.00156e+03,1.00000e+00
4.00157e+03,1.00000e+00
4.00158e+03,1.00000e+00
4.00159e+03,1.00000e+00
4.00160e+03,1.00000e+00
4.00161e+03,1.00000e+00
4.00162e+03,1.00000e+00
4.00163e+03,1.00000e+00
4.00164e+03,1.00000e+00
4.00165e+03,1.00000e+00
4.00166e+03,1.00000e+00
4.00167e+03,1.00000e+00
4.00168e+03,1.00000e+00
4.00169e+03,1.00000e+00
4.00170e+03,1.00000e+00
4.00171e+03,1.00000e+00
4.00172e+03,1.00000e+00
4.00173e+03,1.00000e+00
4.00174e+03,1.00000e+00
4.00175e+03,1.00000e+00
4.00176e+03,1.00000e+00
4.00177e+03,1.00000e+00
4.00178e+03,1.00000e+00
4.00179e+03,1.00000e+00
4.00180e+03,1.00000e+00
4.00181e+03,1.00000e+00
4.00182e+03,1.00000e+00
4.00183e+03,1.00000e+00
4.00184e+03,1.00000e+00
4.00185e+03,1.00000e+00
4.00186e+03,1.00000e+00
4.00187e+03,1.00000e+00
4.00188e+03,1.00000e+00
4.00189e+03,1.00000e+00
4.00190e+03,1.00000e+00
4.00191e+03,1.00000e+00
4.00192e+03,1.00000e+00
4.00193e+03,1.00000e+00
4.00194e+03,1.00000e+00
4.00195e+03,1.00000e+00
4.00196e+03,1.00000e+00
4.00197e+03,1.00000e+00
4.00198e+03,1.00000e+00
4.00199e+03,1.00000e+00
4.00200e+03,1.00000e+00
4.00201e+03,1.00000e+00
4.00202e+03,1.00000e+00
4.00203e+03,1.00000e+00
4.00204e+03,1.00000e+00
4.00205e+03,1.00000e+00
4.00206e+03,1.00000e+00
4.00207e+03,1.00000e+00
4.00208e+03,1.00000e+00
4.00209e+03,1.00000e+00
4.00210e+03,1.00000e+00
4.00211e+03,1.00000e+00
4.00212e+03,1.00000e+00
4.00213e+03,1.00000e+00
4.00214e+03,1.00000e+00
4.00215e+03,1.00000e+00
4.00216e+03,1.00000e+00
4.00217e+03,1.00000e+00
4.00218e+03,1.00000e+00
4.00219e+03,1.00000e+00
4.00220e+03,1.00000e+00
4.00221e+03,1.00000e+00
4.00222e+03,1.00000e+00
4.00223e+03,1.00000e+00
4.00224e+03,1.00000e+00
4.00225e+03,1.00000e+00
4.00226e+03,1.00000e+00
4.00227e+03,1.00000e+00
4.00228e+03,1.00000e+00
4.00229e+03,1.00000e+00
4.00230e+03,1.00000e+00
4.00231e+03,1.00000e+00
4.00232e+03,1.00000e+00
4.00233e+03,1.00000e+00
4.00234e+03,1.00000e+00
4.00235e+03,1.00000e+00
4.00236e+03,1.00000e+00
4.00237e+03,1.00000e+00
4.00238e+03,1.00000e+00
4.00239e+03,1.00000e+00
4.00240e+03,1.00000e+00
4.00241e+03,1.00000e+00
4.00242e+03,1.00000e+00
4.00243e+03,1.00000e+00
4.00244e+03,1.00000e+00
4.00245e+03,1.00000e+00
4.00246e+03,1.00000e+00
4.00247e+03,1.00000e+00
4.00248e+03,1.00000e+00
4.00249e+03,1.00000e+00
4.00250e+03,1.00000e+00
4.00251e+03,1.00000e+00
4.00252e+03,1.00000e+00
4.00253e+03,1.00000e+00
4.00254e+03,1.00000e+00
4.00255e+03,1.00000e+00
4.00256e+03,1.00000e+00
4.00257e+03,1.00000e+00
4.00258e+03,1.00000e+00
4.00259e+03,1.00000e+00
4.00260e+03,1.00000e+00
4.00261e+03,1.00000e+00
4.00262e+03,1.00000e+00
4.00263e+03,1.00000e+00
4.00264e+03,1.00000e+00
4.00265e+03,1.00000e+00
4.00266e+03,1.00000e+00
4.00267e+03,1.00000e+00
4.00268e+03,1.00000e+00
4.00269e+03,1.00000e+00
4.00270e+03,1.00000e+00
4.00271e+03,1.00000e+00
4.00272e+03,1.00000e+00
4.00273e+03,1.00000e+00
4.00274e+03,1.00000e+00
4.00275e+03,1.00000e+00
4.00276e+03,1.00000e+00
4.00277e+03,1.00000e+00
4.00278e+03,1.00000e+00
4.00279e+03,1.00000e+00
4.00280e+03,1.00000e+00
4.00281e+03,1.00000e+00
4.00282e+03,1.00000e+00
4.00283e+03,1.00000e+00
4.00284e+03,1.00000e+00
4.00285e+03,1.00000e+00
4.00286e+03,1.00000e+00
4.00287e+03,1.00000e+00
4.00288e+03,1.00000e+00
4.00289e+03,1.00000e+00
4.00290e+03,1.00000e+00
4.00291e+03,1.00000e+00
4.00292e+03,1.00000e+00
4.00293e+03,1.00000e+00
4.00294e+03,1.00000e+00
4.00295e+03,1.00000e+00
4.00296e+03,1.00000e+00
4.00297e+03,1.00000e+00
4.00298e+03,1.00000e+00
4.00299e+03,1.00000e+00
4.00300e+03,1.00000e+00
4.00301e+03,1.00000e+00
4.00302e+03,1.00000e+00
4.00303e+03,1.00000e+00
4.00304e+03,1.00000e+00
4.00305e+03,1.00000e+00
4.00306e+03,1.00000e+00
4.00307e+03,1.00000e+00
4.00308e+03,1.00000e+00
4.00309e+03,1.00000e+00
4.00310e+03,1.00000e+00
4.00311e+03,1.00000e+00
4.00312e+03,1.00000e+00
4.00313e+03,1.00000e+00
4.00314e+03,1.00000e+00
4.00315e+03,1.00000e+00
4.00316e+03,1.00000e+00
4.00317e+03,1.00000e+00
4.00318e+03,1.00000e+00
4.00319e+03,1.00000e+00
4.00320e+03,1.00000e+00
4.00321e+03,1.00000e+00
4.00322e+03,1.00000e+00
4.00323e+03,1.00000e+00
4.00324e+03,1.00000e+00
4.00325e+03,1.00000e+00
4.00326e+03,1.00000e+00
4.00327e+03,1.00000e+00
4.00328e+03,1.00000e+00
4.00329e+03,1.00000e+00
4.00330e+03,1.00000e+00
4.00331e+03,1.00000e+00
4.00332e+03,1.00000e+00
4.00333e+03,1.00000e+00
4.00334e+03,1.00000e+00
4.00335e+03,1.00000e+00
4.00336e+03,1.00000e+00
4.00337e+03,1.00000e+00
4.00338e+03,1.00000e+00
4.00339e+03,1.00000e+00
4.00340e+03,1.00000e+00
4.00341e+03,1.00000e+00
4.00342e+03,1.00000e+00
4.00343e+03,1.00000e+00
4.00344e+03,1.00000e+00
4.00345e+03,1.00000e+00
4.00346e+03,1.00000e+00
4.00347e+03,1.00000e+00
4.00348e+03,1.00000e+00
4.00349e+03,1.00000e+00
4.00350e+03,1.00000e+00
4.00351e+03,1.00000e+00
4.00352e+03,1.00000e+00
4.00353e+03,1.00000e+00
4.00354e+03,1.00000e+00
4.00355e+03,1.00000e+00
4.00356e+03,1.00000e+00
4.00357e+03,1.00000e+00
4.00358e+03,1.00000e+00
4.00359e+03,1.00000e+00
4.00360e+03,1.00000e+00
4.00361e+03,1.00000e+00
4.00362e+03,1.00000e+00
4.00363e+03,1.00000e+00
4.00364e+03,1.00000e+00
4.00365e+03,1.00000e+00
4.00366e+03,1.00000e+00
4.00367e+03,1.00000e+00
4.00368e+03,1.00000e+00
4.00369e+03,1.00000e+00
4.00370e+03,1.00000e+00
4.00371e+03,1.00000e+00
4.00372e+03,1.00000e+00
4.00373e+03,1.00000e+00
4.00374e+03,1.00000e+00
4.00375e+03,1.00000e+00
4.00376e+03,1.00000e+00
4.00377e+03,1.00000e+00
4.00378e+03,1.00000e+00
4.00379e+03,1.00000e+00
4.00380e+03,1.00000e+00
4.00381e+03,1.00000e+00
4.00382e+03,1.00000e+00
