time	V(a,b)	V(a,n)	V(b,n)	V(c,n)	I(Ra)	I(Rla)
0.000000000000000e+000	-2.360343e+002	-3.319518e+001	2.028392e+002	-1.696440e+002	-2.728976e-004	6.681223e-001
1.000000000028756e-007	-2.359737e+002	-3.320193e+001	2.027718e+002	-1.695698e+002	-2.727357e-004	6.678694e-001
3.000000000016878e-007	-2.358524e+002	-3.321542e+001	2.026370e+002	-1.694216e+002	-1.485814e-004	6.673638e-001
6.999999999993123e-007	-2.356098e+002	-3.324236e+001	2.023674e+002	-1.691251e+002	3.117659e-004	6.663524e-001
9.999999999940612e-007	-2.354278e+002	-3.326254e+001	2.021652e+002	-1.689027e+002	4.708556e-004	6.655939e-001
5.999999999999062e-006	-2.323887e+002	-3.359526e+001	1.987934e+002	-1.651982e+002	4.647774e-004	6.529511e-001
6.100000000001937e-006	-2.323278e+002	-3.360184e+001	1.987260e+002	-1.651241e+002	4.646555e-004	6.526982e-001
6.300000000000749e-006	-2.322399e+002	-3.361501e+001	1.986249e+002	-1.650098e+002	4.039120e-004	6.521925e-001
6.699999999998374e-006	-2.322085e+002	-3.364133e+001	1.985672e+002	-1.649259e+002	1.788315e-004	6.511810e-001
7.000000000000062e-006	-2.322858e+002	-3.366106e+001	1.986247e+002	-1.649637e+002	1.009835e-004	6.504225e-001
2.214285714285649e-005	-2.382740e+002	-3.459993e+001	2.036740e+002	-1.690741e+002	1.038002e-004	6.121372e-001
3.728571428571293e-005	-2.441742e+002	-3.548945e+001	2.086847e+002	-1.731953e+002	1.064688e-004	5.739711e-001
5.242857142856936e-005	-2.499865e+002	-3.632961e+001	2.136569e+002	-1.773272e+002	1.089893e-004	5.359243e-001
6.757142857142579e-005	-2.557108e+002	-3.712042e+001	2.185904e+002	-1.814699e+002	1.113617e-004	4.979967e-001
8.271428571428222e-005	-2.613471e+002	-3.786186e+001	2.234853e+002	-1.856234e+002	1.135860e-004	4.601884e-001
9.785714285713866e-005	-2.668955e+002	-3.855395e+001	2.283416e+002	-1.897876e+002	1.156622e-004	4.224992e-001
1.129999999999951e-004	-2.723560e+002	-3.919669e+001	2.331593e+002	-1.939626e+002	1.175903e-004	3.849294e-001
1.130999999999979e-004	-2.723912e+002	-3.920056e+001	2.331906e+002	-1.939901e+002	1.176021e-004	3.846833e-001
1.132999999999967e-004	-2.724956e+002	-3.924216e+001	2.332534e+002	-1.940112e+002	-1.666503e+000	3.841910e-001
1.136999999999944e-004	-2.728489e+002	-3.946991e+001	2.333789e+002	-1.939090e+002	-7.856808e+000	3.832044e-001
1.139999999999961e-004	-2.732145e+002	-3.974147e+001	2.334731e+002	-1.937316e+002	-9.999604e+000	3.824624e-001
1.180000000000001e-004	-2.786596e+002	-4.393418e+001	2.347254e+002	-1.907912e+002	-9.999586e+000	3.721325e-001
1.180999999999960e-004	-2.787956e+002	-4.403893e+001	2.347567e+002	-1.907177e+002	-9.999586e+000	3.718638e-001
1.182999999999948e-004	-2.789999e+002	-4.421461e+001	2.347853e+002	-1.905707e+002	-8.332895e+000	3.713253e-001
1.186999999999924e-004	-2.791193e+002	-4.442134e+001	2.346980e+002	-1.902767e+002	-2.142330e+000	3.702456e-001
1.189999999999941e-004	-2.790074e+002	-4.447563e+001	2.345317e+002	-1.900561e+002	5.580142e-004	3.694347e-001
1.301428571428515e-004	-2.715803e+002	-4.485706e+001	2.267233e+002	-1.818662e+002	5.431603e-004	3.395155e-001
1.412857142857089e-004	-2.641115e+002	-4.521096e+001	2.189006e+002	-1.736896e+002	5.282229e-004	3.098089e-001
1.524285714285663e-004	-2.566010e+002	-4.553734e+001	2.110636e+002	-1.655263e+002	5.132019e-004	2.803150e-001
1.635714285714237e-004	-2.490487e+002	-4.583621e+001	2.032125e+002	-1.573763e+002	4.980973e-004	2.510338e-001
1.747142857142810e-004	-2.414546e+002	-4.610755e+001	1.953471e+002	-1.492395e+002	4.829092e-004	2.219653e-001
1.858571428571384e-004	-2.338188e+002	-4.635137e+001	1.874674e+002	-1.411161e+002	4.676375e-004	1.931094e-001
1.969999999999958e-004	-2.261412e+002	-4.656767e+001	1.795736e+002	-1.330059e+002	4.522823e-004	1.644662e-001
1.970999999999987e-004	-2.260721e+002	-4.656932e+001	1.795028e+002	-1.329335e+002	4.521441e-004	1.642120e-001
1.972999999999975e-004	-2.260014e+002	-4.660646e+001	1.793950e+002	-1.327886e+002	-1.666229e+000	1.637034e-001
1.976999999999951e-004	-2.261494e+002	-4.682529e+001	1.793241e+002	-1.324988e+002	-7.856756e+000	1.626843e-001
1.979999999999968e-004	-2.264618e+002	-4.709015e+001	1.793716e+002	-1.322815e+002	-9.999629e+000	1.619180e-001
2.049999999999969e-004	-2.357553e+002	-5.426844e+001	1.814869e+002	-1.272184e+002	-9.999599e+000	1.427919e-001
2.050999999999997e-004	-2.358880e+002	-5.437089e+001	1.815171e+002	-1.271462e+002	-9.999598e+000	1.425014e-001
2.052999999999985e-004	-2.361195e+002	-5.454193e+001	1.815775e+002	-1.270356e+002	-8.332971e+000	1.419192e-001
2.056999999999962e-004	-2.364378e+002	-5.473940e+001	1.816984e+002	-1.269590e+002	-2.142642e+000	1.407524e-001
2.059999999999979e-004	-2.365758e+002	-5.478673e+001	1.817891e+002	-1.270023e+002	1.643605e-004	1.398763e-001
2.118400000000028e-004	-2.384174e+002	-5.486262e+001	1.835548e+002	-1.286921e+002	1.645882e-004	1.228775e-001
2.176800000000078e-004	-2.402450e+002	-5.492637e+001	1.853187e+002	-1.303923e+002	1.647794e-004	1.060233e-001
2.235200000000128e-004	-2.420587e+002	-5.497796e+001	1.870807e+002	-1.321028e+002	1.649342e-004	8.931384e-002
2.293600000000177e-004	-2.438584e+002	-5.501741e+001	1.888410e+002	-1.338236e+002	1.650525e-004	7.274898e-002
2.352000000000227e-004	-2.456442e+002	-5.504471e+001	1.905995e+002	-1.355547e+002	1.651344e-004	5.632877e-002
2.410400000000277e-004	-2.474160e+002	-5.505985e+001	1.923561e+002	-1.372962e+002	1.651799e-004	4.005320e-002
2.468800000000326e-004	-2.491738e+002	-5.506285e+001	1.941109e+002	-1.390481e+002	1.651889e-004	2.392227e-002
2.878400000000739e-004	-2.612810e+002	-5.492266e+001	2.063583e+002	-1.514356e+002	1.647684e-004	-8.696108e-002
