nu,CH4/x=1.000e-06/T=253.000K/P=0.350atm/L=6000000.000cm
4100.0,0.0
4100.01,0.00130778109875
4100.02,0.00118113725022
4100.03,0.0011533443238
4100.04,0.0012042221942
4100.05,0.00133373883156
4100.06,0.00148658906852
4100.07,0.00150207537396
4100.08,0.00141163414062
4100.09,0.00135720744397
4100.1,0.00137698628753
4100.11,0.00147705239343
4100.12,0.0016717894928
4100.13,0.00201973237043
4100.14,0.00252370170424
4100.15,0.00303394391681
4100.16,0.00367326359102
4100.17,0.00467947128246
4100.18,0.00552255326389
4100.19,0.00571156252924
4100.2,0.00541990467596
4100.21,0.00464047370836
4100.22,0.0037025868495
4100.23,0.00301117234998
4100.24,0.0026274164799
4100.25,0.00246068190519
4100.26,0.00243087859893
4100.27,0.00252419786993
4100.28,0.0028137585247
4100.29,0.00335799246747
4100.3,0.00396789197312
4100.31,0.0041336488065
4100.32,0.00400500334073
4100.33,0.00414588925333
4100.34,0.00472971502167
4100.35,0.0058404543964
4100.36,0.00772906535531
4100.37,0.0109762474512
4100.38,0.0167939865633
4100.39,0.0270784084339
4100.4,0.0408010606248
4100.41,0.046520915105
4100.42,0.0374627328336
4100.43,0.0248442332755
4100.44,0.0160190377408
4100.45,0.010823199741
4100.46,0.00779330582941
4100.47,0.00597876793656
4100.48,0.00490633404088
4100.49,0.00431967432381
4100.5,0.00398755384469
4100.51,0.00369983167849
4100.52,0.00351082289829
4100.53,0.00341515892475
4100.54,0.00348780690724
4100.55,0.00388549819514
4100.56,0.00468891429574
4100.57,0.00598574958433
4100.58,0.0075013521049
4100.59,0.00815786364875
4100.6,0.00722522451724
4100.61,0.00557069467908
4100.62,0.00420298892675
4100.63,0.00334996456772
4100.64,0.00288457301909
4100.65,0.00260845875482
4100.66,0.00241610910534
4100.67,0.00231895712507
4100.68,0.00237654610803
4100.69,0.00264774402885
4100.7,0.00303099943895
4100.71,0.00316786615374
4100.72,0.00280601453919
4100.73,0.00227174612094
4100.74,0.00186623449886
4100.75,0.00159883130338
4100.76,0.00143848709142
4100.77,0.00135909496225
4100.78,0.00135249283751
4100.79,0.00142384340432
4100.8,0.00157339966253
4100.81,0.00176915206858
4100.82,0.00201673498189
4100.83,0.00249480065086
4100.84,0.00321444407964
4100.85,0.00327936788215
4100.86,0.0025532689161
4100.87,0.00203477219895
4100.88,0.00183883523408
4100.89,0.00172097641126
4100.9,0.00165856835313
4100.91,0.00161855871835
4100.92,0.00150772564498
4100.93,0.00141199850307
4100.94,0.00140753371548
4100.95,0.00150500868404
4100.96,0.00164587761901
4100.97,0.00164969418212
4100.98,0.00156316656457
4100.99,0.00154825968432
4101.0,0.00161687781636
4101.01,0.00175933656075
4101.02,0.00197406603113
4101.03,0.00222893693386
4101.04,0.00249354878123
4101.05,0.00274697983887
4101.06,0.00286987620049
4101.07,0.0029236893427
4101.08,0.00310434041797
4101.09,0.00348567118018
4101.1,0.00407859616188
4101.11,0.00489885422346
4101.12,0.00609018443971
4101.13,0.00797570784466
4101.14,0.0111081223967
4101.15,0.0164006039235
4101.16,0.0245979584142
4101.17,0.0330841489747
4101.18,0.0340777907337
4101.19,0.0264796259602
4101.2,0.0180497593995
4101.21,0.0124379813633
4101.22,0.00915210941503
4101.23,0.0072482615329
4101.24,0.00614381566499
4101.25,0.00553427968347
4101.26,0.00526837509196
4101.27,0.00524786779767
4101.28,0.00544133639814
4101.29,0.00584993093346
4101.3,0.00646521642653
4101.31,0.00738221554989
4101.32,0.00883719691968
4101.33,0.011231938055
4101.34,0.015124398005
4101.35,0.0211255772648
4101.36,0.0285438840843
4101.37,0.0324708983576
4101.38,0.0291362385581
4101.39,0.0232478681816
4101.4,0.0194453599068
4101.41,0.0181263243606
4101.42,0.018677525858
4101.43,0.0212844559405
4101.44,0.0268301628765
4101.45,0.0369368213504
4101.46,0.053973351082
4101.47,0.0776525263677
4101.48,0.0953318327164
4101.49,0.0887089236857
4101.5,0.0651441925512
4101.51,0.0435934053441
4101.52,0.0295125291248
4101.53,0.0209819651617
4101.54,0.0157559343402
4101.55,0.0124407377601
4101.56,0.0102151896041
4101.57,0.00866031861951
4101.58,0.00747430921813
4101.59,0.00647562406078
4101.6,0.00568337767267
4101.61,0.00511468507972
4101.62,0.00472736731486
4101.63,0.00445908845449
4101.64,0.00428495720986
4101.65,0.00421534926913
4101.66,0.00426097240929
4101.67,0.00444497526359
4101.68,0.00482136154562
4101.69,0.00548907599791
4101.7,0.00659018283528
4101.71,0.00828768365139
4101.72,0.0106884288571
4101.73,0.0129806203571
4101.74,0.0131436030458
4101.75,0.0112893055606
4101.76,0.00949315103106
4101.77,0.0087067404055
4101.78,0.00898833716836
4101.79,0.0104076035744
4101.8,0.0132726317894
4101.81,0.0176987801511
4101.82,0.0235682801859
4101.83,0.0308906188245
4101.84,0.0354410667328
4101.85,0.0347199182673
4101.86,0.0368679265966
4101.87,0.0466618329491
4101.88,0.0548286133023
4101.89,0.0468513633155
4101.9,0.0314716968314
4101.91,0.0208393071195
4101.92,0.0152778731175
4101.93,0.0125515746508
4101.94,0.011307643563
4101.95,0.0110286117699
4101.96,0.0108712841007
4101.97,0.0100676562519
4101.98,0.00920455245284
4101.99,0.00885095791443
4102.0,0.00911441240591
4102.01,0.0101123780065
4102.02,0.0121643736546
4102.03,0.016104626678
4102.04,0.0236778351697
4102.05,0.0352901061004
4102.06,0.0419415641762
4102.07,0.0401357416495
4102.08,0.0436552757791
4102.09,0.0600673295313
4102.1,0.0910622528452
4102.11,0.121893986163
4102.12,0.111482529672
4102.13,0.0723862206698
4102.14,0.0444481867679
4102.15,0.0302425394251
4102.16,0.0224463038976
4102.17,0.0173540818292
4102.18,0.0141449672102
4102.19,0.0121982852863
4102.2,0.0108132322582
4102.21,0.00980761362298
4102.22,0.00925406168253
