nu,CH4/x=1.700e-06/T=253.000K/P=0.350atm/L=6000000.000cm
4.000010e+03,1.000000e+00
4.000020e+03,1.000000e+00
4.000030e+03,1.000000e+00
4.000040e+03,1.000000e+00
4.000050e+03,1.000000e+00
4.000060e+03,1.000000e+00
4.000070e+03,1.000000e+00
4.000080e+03,1.000000e+00
4.000090e+03,1.000000e+00
4.000100e+03,1.000000e+00
4.000110e+03,1.000000e+00
4.000120e+03,1.000000e+00
4.000130e+03,1.000000e+00
4.000140e+03,1.000000e+00
4.000150e+03,1.000000e+00
4.000160e+03,1.000000e+00
4.000170e+03,1.000000e+00
4.000180e+03,1.000000e+00
4.000190e+03,1.000000e+00
4.000200e+03,1.000000e+00
4.000210e+03,1.000000e+00
4.000220e+03,9.999990e-01
4.000230e+03,9.999990e-01
4.000240e+03,9.999980e-01
4.000250e+03,9.999980e-01
4.000260e+03,9.999970e-01
4.000270e+03,9.999980e-01
4.000280e+03,9.999990e-01
4.000290e+03,9.999990e-01
4.000300e+03,9.999990e-01
4.000310e+03,1.000000e+00
4.000320e+03,1.000000e+00
4.000330e+03,1.000000e+00
4.000340e+03,1.000000e+00
4.000350e+03,1.000000e+00
4.000360e+03,1.000000e+00
4.000370e+03,1.000000e+00
4.000380e+03,1.000000e+00
4.000390e+03,1.000000e+00
4.000400e+03,1.000000e+00
4.000410e+03,1.000000e+00
4.000420e+03,1.000000e+00
4.000430e+03,1.000000e+00
4.000440e+03,1.000000e+00
4.000450e+03,1.000000e+00
4.000460e+03,1.000000e+00
4.000470e+03,1.000000e+00
4.000480e+03,1.000000e+00
4.000490e+03,1.000000e+00
4.000500e+03,1.000000e+00
4.000510e+03,1.000000e+00
4.000520e+03,1.000000e+00
4.000530e+03,1.000000e+00
4.000540e+03,1.000000e+00
4.000550e+03,1.000000e+00
4.000560e+03,1.000000e+00
4.000570e+03,1.000000e+00
4.000580e+03,1.000000e+00
4.000590e+03,1.000000e+00
4.000600e+03,1.000000e+00
4.000610e+03,1.000000e+00
4.000620e+03,1.000000e+00
4.000630e+03,1.000000e+00
4.000640e+03,1.000000e+00
4.000650e+03,1.000000e+00
4.000660e+03,1.000000e+00
4.000670e+03,1.000000e+00
4.000680e+03,1.000000e+00
4.000690e+03,1.000000e+00
